brand,year,age_years,mileage_km,fuel_type,transmission,body_type,condition,color,num_owners,accident_history,service_records,engine_size_L,horsepower,battery_range_km,battery_health_pct,charging_speed_kw,ev_incentive_2026_usd,is_ev,price_usd
Rivian,2013,13,141035,EV,Automatic,Van,Good,Brown,1,0,1,,590,380.0,83.50631690941186,150.0,3500,1,64031.62
Hyundai,2022,4,239149,Petrol,Automatic,Coupe,Excellent,Blue,1,0,1,1.6,150,,,,0,0,2857.47
Lucid,2022,4,116264,EV,Automatic,SUV,Good,Silver,2,1,1,,261,561.0,93.37831024374216,350.0,5000,1,114853.22
Toyota,2017,9,315900,Petrol,Automatic,Sedan,Fair,Gray,3,1,1,1.8,375,,,,0,0,2000.0
Ford,2016,10,246809,Hybrid,Manual,Sedan,Good,Green,4,0,0,4.0,173,,,,0,0,2000.0
Toyota,2015,11,282299,Petrol,Automatic,SUV,Good,Red,4,0,1,3.0,137,,,,0,0,2000.0
BMW,2020,6,164554,Diesel,Manual,Truck,Excellent,Brown,4,0,0,1.0,110,,,,0,0,23307.71
Mercedes,2025,1,253052,Diesel,Automatic,Truck,Good,Silver,5,0,1,3.5,380,,,,0,0,46899.57
Ford,2021,5,262643,Petrol,Manual,SUV,Excellent,Blue,3,0,1,2.5,183,,,,0,0,2000.0
Nissan,2011,15,266836,Hybrid,Manual,Truck,Excellent,White,1,1,1,1.8,389,,,,0,0,2000.0
Mercedes,2012,14,342958,Hybrid,Automatic,Coupe,Good,White,2,0,1,1.8,408,,,,0,0,22144.69
Ford,2019,7,322425,Petrol,Automatic,SUV,Excellent,Red,2,1,1,3.5,177,,,,0,0,2000.0
Chevrolet,2018,8,328850,Petrol,CVT,Truck,Fair,Gray,1,1,0,3.5,549,,,,0,0,6910.18
Honda,2022,4,147134,Petrol,Automatic,Sedan,Excellent,Blue,3,0,1,1.4,490,,,,0,0,12160.02
Nissan,2018,8,110344,Petrol,Automatic,Truck,Excellent,Red,2,0,0,3.0,131,,,,0,0,2000.0
Toyota,2024,2,250844,Diesel,Automatic,Sedan,Excellent,White,1,1,1,1.8,134,,,,0,0,8366.56
Subaru,2014,12,350000,Petrol,Manual,Truck,Excellent,Red,4,0,1,1.4,106,,,,0,0,2000.0
Volkswagen,2023,3,83421,EV,Automatic,Truck,Good,Black,1,0,1,,1085,374.0,91.27224292050674,150.0,0,1,43538.88
Ford,2012,14,218385,Petrol,Automatic,Convertible,Poor,Green,1,1,1,1.6,195,,,,0,0,2000.0
Toyota,2011,15,215035,Diesel,Automatic,SUV,Good,Blue,1,0,1,1.8,444,,,,0,0,2000.0
Nissan,2017,9,226125,Petrol,CVT,SUV,Good,Black,3,0,1,2.5,252,,,,0,0,2000.0
Kia,2024,2,242122,Petrol,Manual,SUV,Good,Black,3,0,0,1.4,506,,,,0,0,7042.95
Kia,2015,11,167896,Petrol,Automatic,SUV,Good,Blue,1,1,0,1.8,121,,,,0,0,2000.0
Volkswagen,2019,7,341301,Diesel,Automatic,Sedan,Good,White,2,0,1,3.0,323,,,,0,0,2000.0
Toyota,2020,6,253309,Petrol,CVT,Truck,Excellent,Blue,2,0,0,5.0,341,,,,0,0,4078.94
Mercedes,2021,5,79417,Hybrid,Automatic,Sedan,Fair,Brown,2,1,1,1.0,383,,,,0,0,22864.57
Honda,2016,10,110543,Diesel,Automatic,SUV,Good,White,2,0,0,5.0,521,,,,0,0,2000.0
Nissan,2010,16,238512,Diesel,Automatic,Sedan,Good,Green,2,1,1,3.0,106,,,,0,0,2000.0
Hyundai,2010,16,184622,Hybrid,Automatic,Van,Fair,Silver,2,0,1,1.4,239,,,,0,0,2000.0
BMW,2025,1,168942,Petrol,CVT,Truck,Good,Black,4,1,1,1.6,245,,,,0,0,53493.34
Toyota,2019,7,157037,Petrol,Automatic,Sedan,Excellent,Gray,5,0,0,5.0,421,,,,0,0,2000.0
BMW,2011,15,157750,EV,Automatic,SUV,Good,Red,1,0,1,,808,553.0,73.45461645476756,350.0,7500,1,33024.97
BMW,2019,7,80043,Diesel,CVT,SUV,Good,Blue,5,0,1,1.4,540,,,,0,0,24297.19
Kia,2024,2,30640,Hybrid,Automatic,SUV,Poor,Gray,1,0,1,4.0,175,,,,0,0,14732.31
Hyundai,2012,14,350000,Diesel,Automatic,Truck,Good,Silver,3,1,1,4.0,362,,,,0,0,2000.0
Rivian,2021,5,52249,EV,Automatic,Sedan,Excellent,Silver,1,1,0,,1063,402.0,93.37973838582158,22.0,7500,1,84590.18
Tesla,2010,16,220039,EV,Automatic,Truck,Excellent,Green,2,0,1,,201,634.0,60.44885756633374,11.0,7500,1,78745.0
Honda,2023,3,58032,Petrol,Manual,Sedan,Excellent,Black,2,1,1,2.0,173,,,,0,0,2873.98
Kia,2014,12,175850,Petrol,Manual,Van,Good,Gray,5,0,0,1.5,242,,,,0,0,2000.0
Volkswagen,2024,2,48970,EV,Automatic,SUV,Good,Silver,2,0,1,,1034,487.0,94.21125413776723,150.0,5000,1,45826.35
Chevrolet,2024,2,45901,Petrol,Manual,Van,Excellent,Brown,2,0,0,1.6,197,,,,0,0,13062.96
Volkswagen,2012,14,243162,Petrol,Manual,Truck,Excellent,Black,3,0,0,1.6,525,,,,0,0,6023.31
Tesla,2010,16,189485,EV,Automatic,SUV,Excellent,Blue,3,1,1,,438,406.0,60.0,350.0,7500,1,68926.36
Chevrolet,2017,9,297055,Petrol,Manual,Coupe,Good,Red,2,0,1,1.6,313,,,,0,0,2000.0
Audi,2021,5,46421,EV,Automatic,Sedan,Excellent,Green,3,0,0,,572,498.0,86.73062848284734,350.0,5000,1,90694.94
Toyota,2020,6,308397,Petrol,Automatic,Truck,Excellent,Blue,3,1,0,1.6,357,,,,0,0,2000.0
Honda,2015,11,238809,Hybrid,CVT,SUV,Fair,Brown,1,0,1,3.0,460,,,,0,0,2000.0
Toyota,2018,8,321685,Petrol,Automatic,Hatchback,Excellent,Gray,1,1,1,3.5,190,,,,0,0,2000.0
Hyundai,2012,14,230505,Petrol,Automatic,Hatchback,Good,Black,4,0,0,1.6,511,,,,0,0,2000.0
BMW,2018,8,163253,Petrol,Manual,Truck,Excellent,Green,1,0,0,1.6,359,,,,0,0,9535.04
Tesla,2018,8,128513,EV,Automatic,SUV,Good,Black,1,0,1,,711,636.0,89.39034576920257,350.0,5000,1,84788.59
Rivian,2025,1,75162,EV,Automatic,SUV,Fair,Black,2,0,0,,312,474.0,98.32504096404251,350.0,5000,1,61784.7
Ford,2024,2,244293,Petrol,CVT,Truck,Good,White,3,0,0,2.5,260,,,,0,0,16062.32
Audi,2021,5,167174,Petrol,Manual,SUV,Excellent,Silver,1,0,1,3.5,370,,,,0,0,44845.44
Volkswagen,2024,2,199433,Hybrid,Automatic,Coupe,Excellent,Brown,2,1,1,1.6,408,,,,0,0,6825.35
Ford,2022,4,173772,Petrol,Automatic,SUV,Excellent,Black,1,0,1,1.4,490,,,,0,0,2000.0
Toyota,2021,5,78410,Hybrid,Automatic,SUV,Fair,White,1,0,1,1.6,86,,,,0,0,2000.0
Ford,2010,16,235137,Diesel,Automatic,Sedan,Good,Green,3,0,1,1.4,487,,,,0,0,2000.0
Honda,2012,14,192125,Petrol,CVT,Truck,Good,White,2,0,1,4.0,287,,,,0,0,2000.0
Lucid,2015,11,158005,EV,Automatic,Hatchback,Good,Red,1,0,1,,642,248.0,74.95130995745471,250.0,0,1,58408.79
Nissan,2017,9,92460,EV,Automatic,SUV,Good,Brown,4,1,1,,641,289.0,75.28032588035138,100.0,5000,1,18709.39
Hyundai,2013,13,140407,EV,Automatic,Convertible,Good,Blue,1,0,1,,606,637.0,82.41623882714173,22.0,0,1,28394.52
Rivian,2014,12,156703,EV,Automatic,Sedan,Fair,Red,3,1,0,,516,450.0,79.80126916859327,50.0,5000,1,66659.93
Nissan,2018,8,200423,Diesel,Automatic,Sedan,Poor,Brown,2,0,1,2.0,229,,,,0,0,2000.0
Honda,2015,11,282539,Petrol,Manual,SUV,Good,Green,1,0,0,3.5,172,,,,0,0,2000.0
Rivian,2021,5,99595,EV,Automatic,SUV,Good,Silver,2,1,0,,1019,433.0,92.29639567581877,350.0,0,1,69057.75
Chevrolet,2016,10,195767,Petrol,Automatic,Coupe,Poor,Green,2,0,1,3.0,341,,,,0,0,2000.0
Nissan,2016,10,117727,Hybrid,Automatic,Hatchback,Good,Green,4,0,1,3.5,110,,,,0,0,2000.0
Rivian,2013,13,122405,EV,Automatic,SUV,Good,Brown,2,1,0,,914,362.0,72.62540070217054,250.0,5000,1,62692.55
BMW,2013,13,350000,Hybrid,CVT,Truck,Excellent,Green,3,1,0,4.0,536,,,,0,0,66812.07
Honda,2013,13,288609,Diesel,Manual,Truck,Good,Blue,1,0,1,1.4,525,,,,0,0,2000.0
Ford,2023,3,59449,Diesel,Automatic,Sedan,Good,Silver,2,1,0,1.8,424,,,,0,0,15843.45
Audi,2024,2,197288,Hybrid,CVT,SUV,Fair,Blue,1,1,1,4.0,207,,,,0,0,27741.84
Nissan,2020,6,57984,Diesel,Automatic,Sedan,Good,Green,1,1,1,1.5,455,,,,0,0,2000.0
Nissan,2014,12,78854,Petrol,Automatic,SUV,Poor,White,5,0,0,5.0,121,,,,0,0,2000.0
Toyota,2014,12,188326,Petrol,Manual,Sedan,Excellent,Black,2,0,1,1.6,181,,,,0,0,2000.0
Chevrolet,2017,9,225850,Hybrid,Manual,Hatchback,Good,Black,1,0,0,2.5,304,,,,0,0,2000.0
Audi,2018,8,114604,EV,Automatic,Hatchback,Excellent,Silver,2,0,0,,662,358.0,86.99249503751639,50.0,3500,1,47699.48
Ford,2011,15,227693,Hybrid,Automatic,Truck,Fair,Black,2,0,1,2.0,180,,,,0,0,2000.0
Honda,2020,6,268403,Petrol,Automatic,Convertible,Good,Green,1,0,1,5.0,490,,,,0,0,4353.56
BMW,2016,10,255020,Hybrid,Automatic,Truck,Excellent,Blue,3,1,1,1.0,418,,,,0,0,2000.0
Polestar,2010,16,216523,EV,Automatic,Sedan,Good,Red,3,0,1,,1037,387.0,76.16536517989731,50.0,5000,1,49254.48
BMW,2025,1,111326,Diesel,Automatic,Hatchback,Poor,Brown,3,0,0,1.5,126,,,,0,0,30254.91
Chevrolet,2010,16,335183,Diesel,CVT,Sedan,Fair,Blue,1,0,0,5.0,520,,,,0,0,2000.0
Kia,2013,13,152008,EV,Automatic,SUV,Good,Gray,1,0,1,,606,338.0,80.47157791633522,250.0,3500,1,4317.18
Mercedes,2019,7,292929,Petrol,CVT,Truck,Fair,Red,1,0,1,5.0,317,,,,0,0,39457.11
Subaru,2016,10,330605,Diesel,Automatic,Sedan,Excellent,Red,2,0,1,1.8,339,,,,0,0,2000.0
Polestar,2011,15,201018,EV,Automatic,Truck,Fair,Gray,4,0,1,,584,524.0,82.7352915693412,100.0,0,1,15774.35
Ford,2020,6,80765,Diesel,Automatic,SUV,Fair,Green,2,0,0,2.5,485,,,,0,0,2000.0
Tesla,2011,15,179305,EV,Automatic,Truck,Fair,Black,4,0,1,,912,493.0,61.36757645233706,22.0,0,1,57232.78
BMW,2010,16,269900,Petrol,Manual,Coupe,Good,Silver,2,1,1,1.0,133,,,,0,0,7887.33
Ford,2019,7,246116,Petrol,Manual,SUV,Good,White,2,1,1,1.0,308,,,,0,0,2000.0
Toyota,2011,15,156078,Petrol,Automatic,SUV,Good,Blue,3,1,0,2.0,208,,,,0,0,2000.0
Hyundai,2022,4,83261,Petrol,Manual,SUV,Fair,Gray,1,0,0,3.0,258,,,,0,0,12120.17
Tesla,2024,2,52480,EV,Automatic,SUV,Good,Silver,2,0,1,,619,572.0,95.97722932041067,22.0,3500,1,96356.83
Toyota,2016,10,198852,Diesel,Manual,Coupe,Good,White,1,0,1,3.0,193,,,,0,0,2000.0
Ford,2018,8,229616,Petrol,Manual,SUV,Excellent,Brown,5,1,1,3.0,142,,,,0,0,10811.96
Rivian,2015,11,155164,EV,Automatic,Coupe,Poor,Green,5,0,1,,931,581.0,81.84298578603196,50.0,7500,1,52983.82
Ford,2019,7,149423,Diesel,Automatic,Coupe,Good,Red,2,0,0,5.0,170,,,,0,0,2000.0
Honda,2011,15,198913,Petrol,Automatic,SUV,Fair,White,4,0,1,1.8,241,,,,0,0,2000.0
Tesla,2021,5,87980,EV,Automatic,SUV,Good,Green,3,0,1,,349,298.0,94.55234914616884,100.0,5000,1,47537.37
Subaru,2024,2,44556,Diesel,Manual,SUV,Poor,Silver,2,1,1,5.0,147,,,,0,0,10723.97
Ford,2019,7,286430,Petrol,Automatic,Truck,Poor,Red,2,0,1,4.0,278,,,,0,0,2000.0
Kia,2024,2,240749,Petrol,Automatic,SUV,Good,Brown,3,0,1,4.0,392,,,,0,0,2000.0
Volkswagen,2019,7,151240,Petrol,Manual,SUV,Fair,White,1,0,0,5.0,539,,,,0,0,16918.81
Ford,2022,4,289744,Petrol,Manual,SUV,Excellent,Gray,1,0,1,1.5,368,,,,0,0,5880.72
Kia,2018,8,166142,Hybrid,Automatic,Truck,Excellent,Black,3,0,1,3.5,445,,,,0,0,2000.0
Mercedes,2016,10,159560,EV,Automatic,SUV,Good,Blue,1,0,1,,1037,346.0,88.20561361587184,150.0,7500,1,46162.72
Hyundai,2020,6,96935,EV,Automatic,Sedan,Excellent,Gray,1,0,1,,984,484.0,91.99974558166488,50.0,7500,1,36958.44
Hyundai,2010,16,350000,Hybrid,Automatic,Convertible,Excellent,Gray,2,0,1,1.0,198,,,,0,0,2000.0
Chevrolet,2021,5,133960,Petrol,Manual,Coupe,Excellent,Blue,1,0,0,1.4,497,,,,0,0,9158.85
Toyota,2018,8,82144,Petrol,Automatic,Sedan,Excellent,Black,1,0,1,1.5,544,,,,0,0,2000.0
Nissan,2011,15,211422,EV,Automatic,Coupe,Poor,Green,5,1,1,,210,235.0,60.0,100.0,7500,1,2000.0
BMW,2013,13,300792,Diesel,CVT,Coupe,Excellent,Brown,2,0,1,1.8,129,,,,0,0,22851.24
Honda,2018,8,234540,Petrol,CVT,Truck,Excellent,Black,5,1,0,1.8,264,,,,0,0,2000.0
Toyota,2025,1,229159,Diesel,Automatic,Truck,Excellent,Brown,2,0,1,4.0,421,,,,0,0,14491.21
Hyundai,2013,13,165042,Petrol,Automatic,Sedan,Excellent,Red,3,0,1,5.0,384,,,,0,0,2000.0
Kia,2025,1,41721,EV,Automatic,SUV,Excellent,Green,3,0,0,,913,583.0,98.70243133252458,50.0,7500,1,61010.47
Toyota,2012,14,229110,Petrol,Automatic,Truck,Excellent,White,1,1,0,1.5,286,,,,0,0,2000.0
Chevrolet,2010,16,350000,Petrol,Automatic,Sedan,Good,White,1,1,1,2.0,158,,,,0,0,2000.0
Ford,2016,10,280101,Hybrid,Automatic,Convertible,Fair,Red,1,0,1,1.6,263,,,,0,0,2000.0
Hyundai,2024,2,62568,EV,Automatic,Sedan,Excellent,Red,1,0,0,,453,276.0,94.7095793167609,250.0,5000,1,21108.94
Honda,2015,11,294955,Hybrid,Automatic,SUV,Excellent,Green,2,0,1,1.4,219,,,,0,0,2000.0
Kia,2019,7,213091,Hybrid,Manual,Van,Fair,Red,1,1,0,5.0,298,,,,0,0,2000.0
Mercedes,2025,1,245410,Hybrid,Automatic,Sedan,Excellent,Red,1,0,1,1.0,192,,,,0,0,51161.54
Lucid,2013,13,212765,EV,Automatic,Truck,Good,White,1,0,1,,945,635.0,63.9047850742626,350.0,7500,1,83013.07
Honda,2015,11,163627,Petrol,CVT,SUV,Fair,Red,2,0,1,3.5,321,,,,0,0,2000.0
Mercedes,2015,11,140645,EV,Automatic,Coupe,Good,Gray,3,1,0,,592,545.0,75.98789251068825,150.0,7500,1,49414.96
Honda,2022,4,201405,Petrol,Manual,Truck,Excellent,White,2,0,1,3.5,216,,,,0,0,6346.66
Lucid,2025,1,44135,EV,Automatic,Truck,Good,Black,5,0,1,,282,331.0,97.11473840724337,250.0,3500,1,110329.86
Rivian,2013,13,126113,EV,Automatic,Hatchback,Fair,Brown,1,1,0,,553,462.0,68.10290729978342,100.0,5000,1,54123.7
Ford,2023,3,221280,Petrol,Automatic,Sedan,Excellent,Green,5,1,1,1.0,492,,,,0,0,2000.0
Hyundai,2022,4,118840,Hybrid,CVT,Sedan,Good,Red,2,1,0,3.5,244,,,,0,0,14828.64
Nissan,2015,11,133820,EV,Automatic,Coupe,Good,Red,4,0,0,,327,609.0,75.46881499080959,250.0,3500,1,4208.98
Chevrolet,2019,7,160152,EV,Automatic,Truck,Good,Silver,1,0,0,,996,407.0,81.39903945419465,350.0,5000,1,22952.85
Chevrolet,2020,6,293477,Hybrid,Automatic,Van,Fair,Gray,5,0,0,5.0,80,,,,0,0,2000.0
Ford,2017,9,205922,Petrol,Automatic,SUV,Fair,Brown,3,0,1,2.0,411,,,,0,0,2000.0
Toyota,2022,4,168560,Petrol,Manual,SUV,Poor,Brown,2,1,0,4.0,144,,,,0,0,4458.21
Rivian,2012,14,219069,EV,Automatic,Truck,Excellent,Gray,1,0,1,,543,557.0,84.58774434290031,50.0,0,1,56663.28
Rivian,2013,13,90702,EV,Automatic,Sedan,Excellent,Silver,1,0,1,,291,343.0,62.969035628634465,22.0,3500,1,53454.54
Hyundai,2019,7,306256,Petrol,Manual,Sedan,Good,Gray,1,0,0,1.6,423,,,,0,0,2000.0
BMW,2022,4,153675,Petrol,Automatic,SUV,Fair,Silver,2,1,1,1.4,256,,,,0,0,10281.99
Mercedes,2021,5,73957,Hybrid,Automatic,SUV,Fair,Gray,1,0,0,1.0,113,,,,0,0,55576.62
Kia,2023,3,72964,Hybrid,Automatic,SUV,Good,Silver,3,0,1,2.0,182,,,,0,0,4243.9
Rivian,2024,2,94005,EV,Automatic,SUV,Excellent,Brown,3,0,0,,538,217.0,94.79949804995451,50.0,3500,1,58509.51
Rivian,2010,16,227907,EV,Automatic,Coupe,Good,Silver,4,0,1,,461,402.0,60.0,100.0,3500,1,82789.54
Volkswagen,2013,13,303031,Petrol,Automatic,Sedan,Excellent,Black,1,0,0,4.0,392,,,,0,0,2000.0
Hyundai,2020,6,256266,Diesel,Automatic,SUV,Good,Brown,3,1,1,1.4,129,,,,0,0,2000.0
Toyota,2019,7,141338,Diesel,Automatic,Van,Excellent,Brown,3,0,0,1.0,253,,,,0,0,6485.67
Honda,2019,7,187519,Petrol,Manual,Coupe,Good,Silver,5,0,1,1.0,345,,,,0,0,2000.0
Rivian,2021,5,120765,EV,Automatic,SUV,Poor,Red,3,0,0,,558,601.0,89.54832751820643,250.0,5000,1,56640.23
Hyundai,2023,3,115119,Hybrid,Manual,Truck,Good,Red,4,0,0,1.0,295,,,,0,0,17656.72
Toyota,2018,8,308544,Petrol,Automatic,SUV,Poor,Silver,1,0,0,3.5,170,,,,0,0,2000.0
Honda,2017,9,350000,Diesel,CVT,SUV,Good,Blue,2,1,1,3.5,342,,,,0,0,2000.0
Hyundai,2020,6,112631,EV,Automatic,Sedan,Good,Brown,2,0,1,,829,528.0,93.6584413397972,100.0,5000,1,40314.31
Toyota,2013,13,211230,Diesel,Automatic,Sedan,Good,Gray,2,0,0,1.5,306,,,,0,0,2000.0
Honda,2021,5,198056,Petrol,Automatic,SUV,Poor,Red,5,0,0,5.0,314,,,,0,0,4531.93
Chevrolet,2016,10,183513,Petrol,Automatic,SUV,Good,Gray,2,0,1,1.4,478,,,,0,0,2000.0
Kia,2019,7,80347,EV,Automatic,SUV,Fair,White,4,0,1,,960,207.0,90.95271830771672,50.0,7500,1,23069.29
Hyundai,2012,14,248869,Petrol,Automatic,Truck,Excellent,Silver,1,0,0,1.5,262,,,,0,0,2000.0
Ford,2018,8,297985,Petrol,Automatic,Truck,Fair,Silver,2,1,1,1.4,204,,,,0,0,2000.0
Kia,2019,7,142853,EV,Automatic,Sedan,Excellent,Green,1,1,1,,896,299.0,80.1109009964126,11.0,7500,1,18719.68
Ford,2013,13,184639,Petrol,Manual,Truck,Excellent,Gray,2,0,1,2.5,495,,,,0,0,2000.0
BMW,2011,15,308330,Diesel,Manual,SUV,Good,Red,2,1,1,1.6,266,,,,0,0,2000.0
Volkswagen,2019,7,310134,Petrol,Manual,SUV,Good,White,1,0,1,3.0,436,,,,0,0,5104.67
Hyundai,2014,12,230666,Hybrid,Manual,Hatchback,Excellent,Black,4,1,1,1.8,408,,,,0,0,2000.0
Nissan,2011,15,258935,EV,Automatic,Sedan,Fair,Silver,1,0,1,,345,633.0,73.39935495267532,250.0,5000,1,11430.01
Hyundai,2023,3,80965,Petrol,Manual,SUV,Good,Blue,2,1,1,4.0,510,,,,0,0,11485.96
Chevrolet,2019,7,280629,Petrol,Automatic,SUV,Good,Gray,2,0,1,1.6,112,,,,0,0,2000.0
Toyota,2025,1,140562,Petrol,Automatic,Truck,Poor,White,1,0,1,2.5,112,,,,0,0,8708.5
Mercedes,2015,11,198090,Petrol,Automatic,Truck,Excellent,Brown,3,0,1,1.0,117,,,,0,0,35461.65
Ford,2020,6,230160,Petrol,Automatic,Sedan,Fair,Green,2,0,1,2.5,303,,,,0,0,2000.0
Ford,2019,7,133487,Petrol,Automatic,Coupe,Good,Silver,2,0,0,1.5,100,,,,0,0,2000.0
